index,周次,星期,角色,模块,模块形成任务,主日统领主题,本日主题,经文出处,本周一句话,每日一句,精简日标题,每日门训正文,和合本经文全文,门训步骤,思考入口,思考引导,生活导向,经文关键词（候选）,选择区目标,今日操练,七日总结/宣告,内容状态,备注
298,43,周四,关系实践,模块4｜进入使命,从群体生活进入服事、见证与普世使命,我的，就是神可以使用的,我的，就是神可以使用的 · 周四关系,徒4：32-35,把所有看作神所托付的，今天在时间、金钱或能力上做一个慷慨的选择。,让“主动把资源分享给群体需要”发生在一个真实关系里。,周四,门徒生命一定会影响人与人的相处。读 使徒行传 4:32-35，问自己：想起一个具体的人，不停留在抽象的“爱人”；问自己：我可以听什么、说什么、给什么、承担什么？。选一个具体的人，少一点自我证明，多一点靠近与承担。你今天不需要解决这段关系的全部问题，只需要完成一个真实而善意的动作，并留意自己的心发生了什么。,,关系｜把跟随放进真实的人际关系,今天哪个关系最需要让我实践“主动把资源分享给群体需要”？,想起一个具体的人，不停留在抽象的“爱人”；问自己：我可以听什么、说什么、给什么、承担什么？,今天让“主动把资源分享给群体需要”发生在一个真实关系里，而不是停留在个人感受中。,我的｜就是神可以使｜用的｜周四关系,我在关系中的状态｜愿意主动｜想保持距离｜正在修复｜不知道怎么开口,今天选定一位具体的人，用一个可见动作实践“主动把资源分享给群体需要”：主动联系、倾听、帮助、道歉、分享或代祷，六选一。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
299,43,周五,行动承诺,模块4｜进入使命,从群体生活进入服事、见证与普世使命,我的，就是神可以使用的,我的，就是神可以使用的 · 周五行动,箴19：17,把所有看作神所托付的，今天在时间、金钱或能力上做一个慷慨的选择。,让一个真实行动显出“把一项给予变成持续的安排”正在改变我。,周五,回应就是把领受交在行动里。读 箴言 19:17，思想“用实际行动回应主的差遣。”对今天意味着什么。选择一个具体行动，并为它安排明确的时间。做完不要急着评估自己，而是回头看：我是否更愿意跟随？神又让我看见了什么？,,回应｜从跟随走向见证与承担,如果我真的相信“把一项给予变成持续的安排”，今天会有什么不同？,把信仰从个人感受带向承担：选择一个人、一个场景或一项责任，用实际行动回应主的差遣。,今天让别人能够从我的一个真实行动，看见“把一项给予变成持续的安排”正在改变我。,我的｜就是神可以使｜用的｜周五行动,我的回应状态｜已经确定一步｜正在寻找机会｜有惧怕｜需要同伴同行,今天把“把一项给予变成持续的安排”带到一个真实的承担中：完成一次见证、服事、给予、修复关系或承担责任，并记录发生了什么。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
300,43,周六,轻回顾,模块4｜进入使命,从群体生活进入服事、见证与普世使命,我的，就是神可以使用的,回顾本周：我的，就是神可以使用的,诗23：1-6,把所有看作神所托付的，今天在时间、金钱或能力上做一个慷慨的选择。,回头看这一周：经文让我看见了什么，我真正走了哪一步？,周六,今天是回顾的一天。读 诗篇 23:1-6，回头看这一周，特别整理：不要只评价自己“做得好不好”，而是辨认：神让我看见了什么？我实际做了什么？下一步要继续什么？。不要只问“我做得好不好”，而要问三件事：神让我看见什么？我实际做了什么？下一步要继续什么？把一个真实学习写下来，再把下一步写成下周可以执行的动作。,,回顾｜看见本周发生了什么，并确定下一步,回头看七天，我在哪里真实经历了“回顾资源观是否发生变化”？,不要只评价自己“做得好不好”，而是辨认：神让我看见了什么？我实际做了什么？下一步要继续什么？,今天从经历而不是感觉回顾“回顾资源观是否发生变化”，辨认神的工作与下一步。,回顾本周｜我的｜就是神可以使｜用的,本周最接近我的状态｜有真实改变｜有看见但未落实｜正在挣扎｜准备重新开始,今天用10分钟完成本周回顾：写下“神让我看见什么／我实际做了什么／下一步继续什么”，并把下一步写成一个下周可执行的动作。,本周总结｜主题“我的，就是神可以使用的”。回顾“我的所有都是神所托付—回顾资源观是否发生变化”：神让我看见______；我实际回应了______；下一步我要继续______。｜宣告：主仍在带领我，我愿继续跟随。,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
301,44,主日,主日信息入口,模块4｜进入使命,从群体生活进入服事、见证与普世使命,看见神所做的,看见神所做的,诗126：1-6,回头看神已经做了什么，并把它说出来；今天向一个人述说一件神的作为。,回头看神已经做了什么，并把它说出来；今天向一个人述说一件神的作为。,主日,今天是新一周的起点。读 诗篇 126:1-6，先观察经文如何把我们带到“看见神所做的”。就学会述说。留意主怎样带你从认识走向跟随。。不要要求自己一次改变很多，只需要认出一个最真实的回应方向，并为接下来的六天留下一个可以反复操练的生活位置。,,进入｜从主日信息进入本周,本周，我最需要面对的是：“看见神所做，就学会述说”,先不急着回答，把主日经文放进你的生活：看见神所做，就学会述说。留意主怎样带你从认识走向跟随。,本周不追求抽象改变，只在一个真实生活场景中练习“看见神所做，就学会述说”。,看见神所做的｜今天最触动你｜的是什么｜归回,今天最触动我的状态｜很有共鸣｜有一点挣扎｜还不清楚｜愿意开始,用3分钟写下本周回应：“主啊，在看见神所做，就学会述说上，我愿意跟随你。”再选定一个本周每天都可以提醒自己的具体场景。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
302,44,周一,拓宽眼界,模块4｜进入使命,从群体生活进入服事、见证与普世使命,看见神所做的,看见神所做的 · 周一默想,伯42：1-5,回头看神已经做了什么，并把它说出来；今天向一个人述说一件神的作为。,留意“从经历神转向数算神的作为”在我的选择、情绪或习惯中如何出现。,周一,今天不急着得到“正确答案”，而是练习观察。读 约伯记 42:1-5，留意“再问自己：我今天在哪里正在经历同样的事？（经文：看见神所做的 · 周一默想）”怎样显现在经文里，也怎样可能出现在你今天的生活中。选择一个固定场景停一分钟，看见自己真实的反应，并把它带到主面前。,,看见｜先看见经文与自己的处境,经文怎样让我看见“从经历神转向数算神的作为”？,先观察经文中的人物、行动和张力，再问自己：我今天在哪里正在经历同样的事？（经文：看见神所做的 · 周一默想）,今天先看见，不急着改变；留意“从经历神转向数算神的作为”在我的选择、情绪或习惯中如何出现。,看见神所做的｜周一默想｜约伯｜风闻有你,今天我的状态｜已经看见｜有些模糊｜容易忽略｜愿意留意,今天选一个固定场景（通勤、工作、吃饭或睡前），停下来1分钟，记录一次“从经历神转向数算神的作为”在自己身上的真实表现。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
303,44,周二,深入省察,模块4｜进入使命,从群体生活进入服事、见证与普世使命,看见神所做的,看见神所做的 · 周二省察,诗77：1-12,回头看神已经做了什么，并把它说出来；今天向一个人述说一件神的作为。,诚实面对关于“面对遗忘、抱怨与只看缺乏”的内在反应。,周二,今天从外在经文转向内在生命。读 诗篇 77:1-12，诚实面对：不要先批评自己，也不要替自己辩护；诚实辨认背后的欲望、惧怕、骄傲或不信，并把它带到主面前。。不要先解释自己，也不要急着定罪自己。试着辨认这个反应背后更深的欲望、惧怕、骄傲或不信。省察不是自责，而是在神面前停止遮掩，愿意让主触碰真实的自己。,,省察｜先面对里面真实的反应,我为什么会在“面对遗忘、抱怨与只看缺乏”上有这样的反应？,不要先批评自己，也不要替自己辩护；诚实辨认背后的欲望、惧怕、骄傲或不信，并把它带到主面前。,今天诚实面对一个关于“面对遗忘、抱怨与只看缺乏”的内在反应，不用属灵话语遮盖它。,看见神所做的｜周二省察｜你是否在低谷｜追想神的作为,我最接近的状态｜愿意面对｜有点抗拒｜容易解释自己｜需要别人陪伴,今天安静5分钟，不为自己辩解，只写下“面对遗忘、抱怨与只看缺乏”引出的一个惧怕、欲望或惯性，然后用一句祷告交给主。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
304,44,周三,生活应用,模块4｜进入使命,从群体生活进入服事、见证与普世使命,看见神所做的,看见神所做的 · 周三应用,诗145：1-7,回头看神已经做了什么，并把它说出来；今天向一个人述说一件神的作为。,把“记录并感谢神近期的一项作为”放进一个具体决定，用一个小行动回应经文。,周三,今天让“知道”变成“去做”。读 诗篇 145:1-7，思考“不要追求大改变，只走清楚的一步。”在你的现实处境中最小的下一步是什么。把行动限定在十分钟左右，越具体越好。做完后记下一句话：我做了什么？有什么阻力？主让我看见什么？,,行动｜把经文落到一个今天能做的选择,今天我可以怎样把“记录并感谢神近期的一项作为”做出来？,把原则缩小到今天：一个时间点、一个决定、一个动作就够。不要追求大改变，只走清楚的一步。,今天把“记录并感谢神近期的一项作为”放进一个具体决定，用一个小行动回应经文。,看见神所做的｜周三应用｜今天你如何｜传说神的作为,我的行动准备度｜现在就能做｜需要一点计划｜需要别人提醒｜暂时还没想到,今天安排一个明确时间点，把“记录并感谢神近期的一项作为”变成一个10分钟以内的行动，并在完成后记下一个结果。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
305,44,周四,关系实践,模块4｜进入使命,从群体生活进入服事、见证与普世使命,看见神所做的,看见神所做的 · 周四关系,路17：11-19,回头看神已经做了什么，并把它说出来；今天向一个人述说一件神的作为。,让“向一个人讲述神的信实”发生在一个真实关系里。,周四,今天观察自己怎样对待别人，也让经文重新整理这种关系。读 路加福音 17:11-19，围绕“想起一个具体的人，不停留在抽象的“爱人”；问自己：我可以听什么、说什么、给什么、承担什么？”作一个具体决定。找一个人，主动走近一步；可以是一句话、一次倾听、一次帮助或一次代祷。真实关系中的小小顺服，就是门徒训练的一部分。,,关系｜把跟随放进真实的人际关系,今天哪个关系最需要让我实践“向一个人讲述神的信实”？,想起一个具体的人，不停留在抽象的“爱人”；问自己：我可以听什么、说什么、给什么、承担什么？,今天让“向一个人讲述神的信实”发生在一个真实关系里，而不是停留在个人感受中。,看见神所做的｜周四关系｜今天你可以与｜回来归荣耀与,我在关系中的状态｜愿意主动｜想保持距离｜正在修复｜不知道怎么开口,今天选定一位具体的人，用一个可见动作实践“向一个人讲述神的信实”：主动联系、倾听、帮助、道歉、分享或代祷，六选一。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
306,44,周五,行动承诺,模块4｜进入使命,从群体生活进入服事、见证与普世使命,看见神所做的,看见神所做的 · 周五行动,诗126：5-6,回头看神已经做了什么，并把它说出来；今天向一个人述说一件神的作为。,让一个真实行动显出“为别人写下一段见证或感谢”正在改变我。,周五,今天来到回应与承担。读 诗篇 126:5-6，问自己：用实际行动回应主的差遣。。把信仰从个人感受带向一个具体的人、一项责任或一个见证行动。不要追求被看见，只求忠心。完成之后写下发生了什么，让你自己的行动成为一个可以被回顾、也可以被分享的见证。,,回应｜从跟随走向见证与承担,如果我真的相信“为别人写下一段见证或感谢”，今天会有什么不同？,把信仰从个人感受带向承担：选择一个人、一个场景或一项责任，用实际行动回应主的差遣。,今天让别人能够从我的一个真实行动，看见“为别人写下一段见证或感谢”正在改变我。,看见神所做的｜周五行动｜今天你如何｜流泪撒种,我的回应状态｜已经确定一步｜正在寻找机会｜有惧怕｜需要同伴同行,今天把“为别人写下一段见证或感谢”带到一个真实的承担中：完成一次见证、服事、给予、修复关系或承担责任，并记录发生了什么。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
307,44,周六,轻回顾,模块4｜进入使命,从群体生活进入服事、见证与普世使命,看见神所做的,回顾本周：看见神所做的,诗23：1-6,回头看神已经做了什么，并把它说出来；今天向一个人述说一件神的作为。,回头看这一周：经文让我看见了什么，我真正走了哪一步？,周六,读 诗篇 23:1-6，安静回看这七天的经历：哪些地方有顺服，哪些地方仍在挣扎，哪里看见神的带领？特别思考“不要只评价自己“做得好不好”，而是辨认：神让我看见了什么？我实际做了什么？下一步要继续什么？”。今天把本周浓缩成“一个看见、一个行动、一个下一步”，让回顾成为继续跟随的桥梁。,,回顾｜看见本周发生了什么，并确定下一步,回头看七天，我在哪里真实经历了“回顾这一年神在哪里工作过”？,不要只评价自己“做得好不好”，而是辨认：神让我看见了什么？我实际做了什么？下一步要继续什么？,今天从经历而不是感觉回顾“回顾这一年神在哪里工作过”，辨认神的工作与下一步。,回顾本周｜看见神所做的｜这周你经历最｜多的是什么,本周最接近我的状态｜有真实改变｜有看见但未落实｜正在挣扎｜准备重新开始,今天用10分钟完成本周回顾：写下“神让我看见什么／我实际做了什么／下一步继续什么”，并把下一步写成一个下周可执行的动作。,本周总结｜主题“看见神所做的”。回顾“看见神所做，就学会述说—回顾这一年神在哪里工作过”：神让我看见______；我实际回应了______；下一步我要继续______。｜宣告：主仍在带领我，我愿继续跟随。,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
308,45,主日,主日信息入口,模块5｜差派与延伸,忠心传递、年度整合、差派与第二年度衔接,把所听见的交给别人,把所听见的交给别人,提后2：1-2,把所领受的交给可信的人，今天把一个自己学会的真理或操练教给别人。,把所领受的交给可信的人，今天把一个自己学会的真理或操练教给别人。,主日,今天把经文放在心里，也把自己放在经文面前。读 提摩太后书 2:1-2，围绕“把所听见的交给别人”安静片刻，思想：留意主怎样带你从认识走向跟随。。主日不是结束，而是进入本周门训的起点。今天选定一个具体场景，提醒自己在这一周继续回来面对这个主题。,,进入｜从主日信息进入本周,本周，我最需要面对的是：“把所领受的交给别人”,先不急着回答，把主日经文放进你的生活：把所领受的交给别人。留意主怎样带你从认识走向跟随。,本周不追求抽象改变，只在一个真实生活场景中练习“把所领受的交给别人”。,把所听见的交｜给别人｜今天最触动你｜的是什么,今天最触动我的状态｜很有共鸣｜有一点挣扎｜还不清楚｜愿意开始,用3分钟写下本周回应：“主啊，在把所领受的交给别人上，我愿意跟随你。”再选定一个本周每天都可以提醒自己的具体场景。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
309,45,周一,拓宽眼界,模块5｜差派与延伸,忠心传递、年度整合、差派与第二年度衔接,把所听见的交给别人,把所听见的交给别人 · 周一默想,申6：4-9,把所领受的交给可信的人，今天把一个自己学会的真理或操练教给别人。,留意“门徒训练就是忠心传递”在我的选择、情绪或习惯中如何出现。,周一,今天先学习看见。读 申命记 6:4-9，不要急着批评或解决问题，留意经文让你看见什么：再问自己：我今天在哪里正在经历同样的事？（经文：把所听见的交给别人 · 周一默想）。再回到自己的生活，观察一个真实反应、选择或习惯。门徒不是先表现得正确，而是先在神的光中看清楚自己。把今天看见的一件事记下来，作为后面回应的起点。,,看见｜先看见经文与自己的处境,经文怎样让我看见“门徒训练就是忠心传递”？,先观察经文中的人物、行动和张力，再问自己：我今天在哪里正在经历同样的事？（经文：把所听见的交给别人 · 周一默想）,今天先看见，不急着改变；留意“门徒训练就是忠心传递”在我的选择、情绪或习惯中如何出现。,把所听见的交｜给别人｜周一默想｜殷勤教导儿女,今天我的状态｜已经看见｜有些模糊｜容易忽略｜愿意留意,今天选一个固定场景（通勤、工作、吃饭或睡前），停下来1分钟，记录一次“门徒训练就是忠心传递”在自己身上的真实表现。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
310,45,周二,深入省察,模块5｜差派与延伸,忠心传递、年度整合、差派与第二年度衔接,把所听见的交给别人,把所听见的交给别人 · 周二省察,来5：11-14,把所领受的交给可信的人，今天把一个自己学会的真理或操练教给别人。,诚实面对关于“面对只学习不传承的停滞”的内在反应。,周二,今天给自己几分钟安静。读 希伯来书 5:11-14，把经文所揭开的张力带回心里：不要先批评自己，也不要替自己辩护；诚实辨认背后的欲望、惧怕、骄傲或不信，并把它带到主面前。。问自己，我在什么地方正在重复同样的模式？不必马上找到解决方案，只需要说真话，并用一句简单的祷告把这份真实交给主。,,省察｜先面对里面真实的反应,我为什么会在“面对只学习不传承的停滞”上有这样的反应？,不要先批评自己，也不要替自己辩护；诚实辨认背后的欲望、惧怕、骄傲或不信，并把它带到主面前。,今天诚实面对一个关于“面对只学习不传承的停滞”的内在反应，不用属灵话语遮盖它。,把所听见的交｜给别人｜周二省察｜你是否,我最接近的状态｜愿意面对｜有点抗拒｜容易解释自己｜需要别人陪伴,今天安静5分钟，不为自己辩解，只写下“面对只学习不传承的停滞”引出的一个惧怕、欲望或惯性，然后用一句祷告交给主。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
311,45,周三,生活应用,模块5｜差派与延伸,忠心传递、年度整合、差派与第二年度衔接,把所听见的交给别人,把所听见的交给别人 · 周三应用,多2：1-8,把所领受的交给可信的人，今天把一个自己学会的真理或操练教给别人。,把“选择一个可以陪伴成长的人”放进一个具体决定，用一个小行动回应经文。,周三,不要等到条件完美才回应经文。读 提多书 2:1-8，找出一个可以立即开始的动作，回应“不要追求大改变，只走清楚的一步。”。今天只走一步，但要真的走。行动之后，用一分钟回顾结果，让经验成为下一次跟随的依据。,,行动｜把经文落到一个今天能做的选择,今天我可以怎样把“选择一个可以陪伴成长的人”做出来？,把原则缩小到今天：一个时间点、一个决定、一个动作就够。不要追求大改变，只走清楚的一步。,今天把“选择一个可以陪伴成长的人”放进一个具体决定，用一个小行动回应经文。,把所听见的交｜给别人｜周三应用｜今天你如何,我的行动准备度｜现在就能做｜需要一点计划｜需要别人提醒｜暂时还没想到,今天安排一个明确时间点，把“选择一个可以陪伴成长的人”变成一个10分钟以内的行动，并在完成后记下一个结果。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
312,45,周四,关系实践,模块5｜差派与延伸,忠心传递、年度整合、差派与第二年度衔接,把所听见的交给别人,把所听见的交给别人 · 周四关系,提后2：22-26,把所领受的交给可信的人，今天把一个自己学会的真理或操练教给别人。,让“把所学的用简单语言教给别人”发生在一个真实关系里。,周四,今天把跟随带进一个人的名字。读 提摩太后书 2:22-26，思想：想起一个具体的人，不停留在抽象的“爱人”；问自己：我可以听什么、说什么、给什么、承担什么？。想起一段真实关系，不停留在“我要更有爱心”的想法，而是决定一个看得见的动作：认真倾听、主动帮助、道歉、感谢、分享或代祷。让今天的经文通过你的关系被活出来。,,关系｜把跟随放进真实的人际关系,今天哪个关系最需要让我实践“把所学的用简单语言教给别人”？,想起一个具体的人，不停留在抽象的“爱人”；问自己：我可以听什么、说什么、给什么、承担什么？,今天让“把所学的用简单语言教给别人”发生在一个真实关系里，而不是停留在个人感受中。,把所听见的交｜给别人｜周四关系｜今天你可以如,我在关系中的状态｜愿意主动｜想保持距离｜正在修复｜不知道怎么开口,今天选定一位具体的人，用一个可见动作实践“把所学的用简单语言教给别人”：主动联系、倾听、帮助、道歉、分享或代祷，六选一。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
313,45,周五,行动承诺,模块5｜差派与延伸,忠心传递、年度整合、差派与第二年度衔接,把所听见的交给别人,把所听见的交给别人 · 周五行动,太28：19-20,把所领受的交给可信的人，今天把一个自己学会的真理或操练教给别人。,让一个真实行动显出“开始一次具体的门徒陪伴”正在改变我。,周五,今天的重点不是再多懂一点，而是愿意承担一步。读 马太福音 28:19-20，把“用实际行动回应主的差遣。”落实到现实生活。可以是一次服事、一次给予、一次修复关系、一次见证或一次责任。先忠心完成今天能做的，然后在神面前感谢祂的带领。,,回应｜从跟随走向见证与承担,如果我真的相信“开始一次具体的门徒陪伴”，今天会有什么不同？,把信仰从个人感受带向承担：选择一个人、一个场景或一项责任，用实际行动回应主的差遣。,今天让别人能够从我的一个真实行动，看见“开始一次具体的门徒陪伴”正在改变我。,把所听见的交｜给别人｜周五行动｜今天你如何,我的回应状态｜已经确定一步｜正在寻找机会｜有惧怕｜需要同伴同行,今天把“开始一次具体的门徒陪伴”带到一个真实的承担中：完成一次见证、服事、给予、修复关系或承担责任，并记录发生了什么。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
314,45,周六,轻回顾,模块5｜差派与延伸,忠心传递、年度整合、差派与第二年度衔接,把所听见的交给别人,回顾本周：把所听见的交给别人,诗23：1-6,把所领受的交给可信的人，今天把一个自己学会的真理或操练教给别人。,回头看这一周：经文让我看见了什么，我真正走了哪一步？,周六,回顾不是给自己打分，而是辨认神怎样工作。今天读 诗篇 23:1-6，整理你这一周在“不要只评价自己“做得好不好”，而是辨认：神让我看见了什么？我实际做了什么？下一步要继续什么？”上的经历。感谢已经发生的，也承认还没有改变的。最后写下一句本周总结，并确定一个可以带进下一周的小小行动。,,回顾｜看见本周发生了什么，并确定下一步,回头看七天，我在哪里真实经历了“回顾今年有什么可以交给下一代”？,不要只评价自己“做得好不好”，而是辨认：神让我看见了什么？我实际做了什么？下一步要继续什么？,今天从经历而不是感觉回顾“回顾今年有什么可以交给下一代”，辨认神的工作与下一步。,回顾本周｜把所听见的交｜给别人｜这周你经历最,本周最接近我的状态｜有真实改变｜有看见但未落实｜正在挣扎｜准备重新开始,今天用10分钟完成本周回顾：写下“神让我看见什么／我实际做了什么／下一步继续什么”，并把下一步写成一个下周可执行的动作。,本周总结｜主题“把所听见的交给别人”。回顾“把所领受的交给别人—回顾今年有什么可以交给下一代”：神让我看见______；我实际回应了______；下一步我要继续______。｜宣告：主仍在带领我，我愿继续跟随。,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
315,46,主日,主日信息入口,模块5｜差派与延伸,忠心传递、年度整合、差派与第二年度衔接,忠心到底,忠心到底,提后2：3-7,忠心是在重复而不显眼的事上坚持，今天把一项该做的事认真完成。,忠心是在重复而不显眼的事上坚持，今天把一项该做的事认真完成。,主日,今天先慢下来。读 提摩太后书 2:3-7，让“忠心到底”成为这一周共同的入口。不要急着把主日信息变成更多知识，先问：留意主怎样带你从认识走向跟随。。把这个问题放进你真实的生活，找出一个本周愿意跟随主的场景。主日的领受要进入一周的生活，才会成为门徒的道路。,,进入｜从主日信息进入本周,本周，我最需要面对的是：“忠心到底”,先不急着回答，把主日经文放进你的生活：忠心到底。留意主怎样带你从认识走向跟随。,本周不追求抽象改变，只在一个真实生活场景中练习“忠心到底”。,忠心到底｜今天最触动你｜的是什么｜精兵,今天最触动我的状态｜很有共鸣｜有一点挣扎｜还不清楚｜愿意开始,用3分钟写下本周回应：“主啊，在忠心到底上，我愿意跟随你。”再选定一个本周每天都可以提醒自己的具体场景。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
316,46,周一,拓宽眼界,模块5｜差派与延伸,忠心传递、年度整合、差派与第二年度衔接,忠心到底,忠心到底 · 周一默想,林前9：24-27,忠心是在重复而不显眼的事上坚持，今天把一项该做的事认真完成。,留意“用长期忠心代替短期热情”在我的选择、情绪或习惯中如何出现。,周一,读 哥林多前书 9:24-27 时，先把注意力放在经文的人、行动和张力上。今天特别思想：再问自己：我今天在哪里正在经历同样的事？（经文：忠心到底 · 周一默想）。然后问自己，这件事在我的生活里有没有类似的位置？不要急着改变，先诚实记录一次。能够看见，是让神的话从纸面进入生命的第一步。,,看见｜先看见经文与自己的处境,经文怎样让我看见“用长期忠心代替短期热情”？,先观察经文中的人物、行动和张力，再问自己：我今天在哪里正在经历同样的事？（经文：忠心到底 · 周一默想）,今天先看见，不急着改变；留意“用长期忠心代替短期热情”在我的选择、情绪或习惯中如何出现。,忠心到底｜周一默想｜保罗｜攻克己身,今天我的状态｜已经看见｜有些模糊｜容易忽略｜愿意留意,今天选一个固定场景（通勤、工作、吃饭或睡前），停下来1分钟，记录一次“用长期忠心代替短期热情”在自己身上的真实表现。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
317,46,周二,深入省察,模块5｜差派与延伸,忠心传递、年度整合、差派与第二年度衔接,忠心到底,忠心到底 · 周二省察,启2：8-11,忠心是在重复而不显眼的事上坚持，今天把一项该做的事认真完成。,诚实面对关于“面对疲惫、诱惑和半途而废”的内在反应。,周二,门徒训练不仅改变行为，也改变里面的动机。读 启示录 2:8-11，认真面对“不要先批评自己，也不要替自己辩护；诚实辨认背后的欲望、惧怕、骄傲或不信，并把它带到主面前。”。当你察觉到防卫、焦虑、比较或自我保护时，不要赶快掩盖。把那个最真实的反应写下来，求主带你从看见走向悔改与信靠。,,省察｜先面对里面真实的反应,我为什么会在“面对疲惫、诱惑和半途而废”上有这样的反应？,不要先批评自己，也不要替自己辩护；诚实辨认背后的欲望、惧怕、骄傲或不信，并把它带到主面前。,今天诚实面对一个关于“面对疲惫、诱惑和半途而废”的内在反应，不用属灵话语遮盖它。,忠心到底｜周二省察｜你是否有｜至死忠心,我最接近的状态｜愿意面对｜有点抗拒｜容易解释自己｜需要别人陪伴,今天安静5分钟，不为自己辩解，只写下“面对疲惫、诱惑和半途而废”引出的一个惧怕、欲望或惯性，然后用一句祷告交给主。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
